File	Line	Type	Issue
invest_01Tests/AddInvestorBankAccount/UseCaseTest/AddInvestorBankAccountUseCaseTest.swift	689	Property	'attachmentMediaModel' is unused
invest_01/Shell/Modules/Product-Details/View/ProductDetailsViewController.swift	581	Function	'navigateToInvestNow()' is unused
invest_01/Shell/Modules/Product-Details/View/ProductDetailsViewController.swift	491	Function	'navigateToInvestInProductViewController(with:)' is unused
invest_01Tests/Invest-In-Product/UseCaseTest/InvestInProductUseCaseTest.swift	452	Function	'makeProduct(minShares:maxShares:)' is unused
invest_01/Shell/Modules/Authorized-Investors/Use-Case/AuthorizedInvestorOptionsUseCase.swift	249	Parameter	'optionList' is unused
invest_01/Shell/Modules/Authorized-Investors/Use-Case/AuthorizedInvestorOptionsUseCase.swift	247	Function	'authorizedInvestorOption(at:)' is unused
invest_01/Shell/Modules/Invest-In-Product/View/InvestInProductViewController.swift	148	Property	'cancelButtonBorderColor' is unused
invest_01/Shell/Modules/Invest-In-Product/View/InvestInProductViewController.swift	147	Property	'cancelButtonBorderWidth' is unused
invest_01/Shell/Modules/Invest-In-Product/View/InvestInProductViewController.swift	146	Property	'cancelButtonCornerRadius' is unused
invest_01/Shell/Modules/Product-Details/Handler/InvestButtonTapHandler.swift	109	Property	'nextHandler' is unused
invest_01/Shell/Modules/Product-Details/Handler/InvestButtonTapHandler.swift	108	Property	'userDataStore' is unused
invest_01/Shell/Modules/Product-Details/View/SubViews/Views/Investments-Tab/SubViews/InvestmentTransctionSubView/InvestmentTransactionView.swift	94	Parameter	'downloadSuitabilityReport' is unused
invest_01/Shell/Modules/Product-Details/View/SubViews/Views/Investments-Tab/SubViews/InvestmentTransctionSubView/InvestmentTransactionView.swift	93	Parameter	'downloadCertificateAction' is unused
invest_01/Shell/Modules/Investor-Bank-Account/Presenter/InvestorBankAccountPresenter.swift	90	Function	'configureBankAccountsList(with:)' is unused
invest_01/Shell/Modules/Invest-In-Product/View/InvestInProductViewController.swift	88	Property	'paymentOptionIndex' is assigned, but never used
invest_01/Shell/Modules/Product-Details/UseCase/ProductDetailsUseCase.swift	78	Property	'isInvestmentBlocked' is unused
invest_01Tests/ELM/UseCaseTest/ELMIntegrationSuccessUseCaseTest.swift	69	Enum	'InvestorProfileFakeAPIError' is unused
invest_01/Shell/Modules/Held-Investment-Payment/Use-Case/HeldInvestmentPaymentUseCase.swift	58	Property	'bankAccount' is unused
invest_01/Shell/Modules/Account/Existing-Account/Mapper/AccountMapper.swift	50	Property	'supportAuthorizedInvestorCompleteKYCWarning' is unused
invest_01/Shell/Modules/Investor-Bank-Account/UseCase/AddInvestorBankAccountUseCase.swift	46	Property	'isBankDataPicked' is assigned, but never used
invest_01/Shell/Modules/Authorized-Investors/Request/AuthorizedInvestorUploadRequest.swift	39	Property	'queryBody' is unused
invest_01/Shell/Modules/Investor-Bank-Account/Service/AddInvestorBankAccountService.swift	39	Property	'bankListsUIModel' is unused
